52,60
52,65
53,53
53,69
54.5,53
54.5,69
55,48
55,52
55,60
55,67
56,50
56,53
56,65
56.5,60
57,58
57,62
57,77
57.5,55
57.5,64
58,57
58,65
58.5,58
58.5,67
58.5,77
59,48
59,57
59,60
59,69
59,76
60,46
60,58
60,62
60,74
60.5,46
61,58
61.5,60
61.5,64
62,62
62,65
62.5,64
62.5,67
63,57
63,65
63,69
63,72
63.5,60
63.5,65
64,55
64,63
64,67
64,71
65,60
65,63
65,72
66,62
66,74
67,59
67,67
67.5,72
68,48
68,60
68,64
68,67
68,72
69,53
69,57
69,60
69,65
70,58
70,62
70,67
71,52
71,60
71,79
71.5,67
72,53
72,57
72,69
72,72
73,50
73,62
73,65
73,77
73.5,65
74,51
74,55
74,63
74,67
74,70
74.5,55
75,46
75,58
75,62
75,74
75.5,65
76,48
76,60
76,64
76,67
77,57
77,65
77,69
77.5,70
78,55
78,60
78,72
79,48
79,64
79.5,70
80,41
80,53
80,60
80,65
80,69
