239,60
240,53
240,69
240.5,67
241,57
241,69
241.5,65
242,60
242,67
242.5,69
243,62
243,70
243.5,69
244,55
244,70
244.5,67
245,53
245,69
245.5,71
246,52
246,72
246.5,71
247,55
247,72
247.5,74
248,60
248,72
248.5,70
249,53
249,69
249.5,67
250,57
250,69
250.5,70
251,60
251,69
251.5,65
252,45
252,69
252.5,44
253,45
253,72
253.5,41
254,43
254,77
254.5,45
255,46
255,67
255.5,45
256,46
256,74
256.5,43
257,45
257,77
257.5,47
258,48
258,67
258.5,47
259,48
259,77
259.5,45
260,47
260,76
260.5,49
261,50
261,65
261.5,45
262,47
262,74
262.5,43
263,48
263,64
263,72
263.5,42
264,43
264.5,67
265,64
265.5,60
266,31
266,59
266,65
266.5,62
267,36
267,60
268,48
269,60
